K,Accuracy
1,0.4646017699115044
2,0.4524336283185841
3,0.5022123893805309
4,0.5066371681415929
5,0.5353982300884956
6,0.5287610619469026
7,0.5497787610619469
8,0.5464601769911505
9,0.5553097345132744
10,0.5453539823008849
11,0.5663716814159292
12,0.5674778761061947
13,0.5630530973451328
14,0.5641592920353983
15,0.5608407079646017
16,0.5542035398230089
17,0.5575221238938053
18,0.5663716814159292
19,0.5763274336283186
20,0.5652654867256637
21,0.5741150442477876
22,0.5719026548672567
23,0.5785398230088495
24,0.581858407079646
25,0.5807522123893806
26,0.5741150442477876
27,0.5730088495575221
28,0.577433628318584
29,0.5829646017699115
30,0.5752212389380531
